question, right_answer, choice2, choice3, choice4

"What is the capital of France?", "Paris", "Madrid", "Lisbon", "Lyon"
"Whats is INSA's symbol?", "Rhino", "Lion", "Beaver", ""
"What is the largest planet in our Solar System?","Jupiter","Mars","Earth","Venus"
"Who wrote 'Macbeth'?","William Shakespeare","Charles Dickens","Jane Austen","Mark Twain"
"What is the chemical symbol for water?","H2O","CO2","O2","N2"
"What is the smallest country in the world?", "Vatican City", "Monaco", "Nauru", "Liechtenstein"
"Which element has the atomic number 1?", "Hydrogen", "Oxygen", "Nitrogen", "Helium"
"What year did the Titanic sink?", "1912", "1905", "1898", "1923"
"Who painted the Mona Lisa?", "Leonardo da Vinci", "Michelangelo", "Raphael", "Vincent van Gogh"
"What is the capital of Japan?", "Tokyo", "Kyoto", "Osaka", "Hiroshima"
"Which planet is known as the Red Planet?", "Mars", "Jupiter", "Saturn", "Venus"
"What language has the most native speakers worldwide?", "Mandarin Chinese", "English", "Spanish", "Hindi"
"How many continents are there on Earth?", "7", "6", "5", "8"
"Who discovered penicillin?", "Alexander Fleming", "Marie Curie", "Louis Pasteur", "Thomas Edison"
"What is the main ingredient in guacamole?", "Avocado", "Tomato", "Onion", "Pepper"
"Which animal is known as the King of the Jungle?", "Lion", "Tiger", "Elephant", "Bear"
"What is the hardest natural substance on Earth?", "Diamond", "Gold", "Iron", "Quartz"
"Who is known as the Father of Computer Science?", "Alan Turing", "Albert Einstein", "Isaac Newton", "Charles Babbage"
"What is the largest ocean on Earth?", "Pacific Ocean", "Atlantic Ocean", "Indian Ocean", "Arctic Ocean"
"Which country hosted the 2016 Summer Olympics?", "Brazil", "China", "Russia", "United Kingdom"
